Entity,Code,Year,Homicides - sex: Total - age: Total,World regions according to OWID
Anguilla,AIA,2004,1,
Anguilla,AIA,2005,0,
Anguilla,AIA,2006,5,
Anguilla,AIA,2007,4,
Anguilla,AIA,2008,1,
Anguilla,AIA,2009,1,
Anguilla,AIA,2010,0,
Anguilla,AIA,2011,0,
Anguilla,AIA,2012,5,
Anguilla,AIA,2013,1,
Anguilla,AIA,2014,4,
Anguilla,AIA,2023,,North America
Antigua and Barbuda,ATG,1990,1,
Antigua and Barbuda,ATG,1991,3,
Antigua and Barbuda,ATG,1992,2,
Antigua and Barbuda,ATG,1993,4,
Antigua and Barbuda,ATG,1994,5,
Antigua and Barbuda,ATG,1995,7,
Antigua and Barbuda,ATG,1996,3,
Antigua and Barbuda,ATG,1997,1,
Antigua and Barbuda,ATG,2000,5,
Antigua and Barbuda,ATG,2001,7,
Antigua and Barbuda,ATG,2002,5,
Antigua and Barbuda,ATG,2003,5,
Antigua and Barbuda,ATG,2004,4,
Antigua and Barbuda,ATG,2005,3,
Antigua and Barbuda,ATG,2006,11,
Antigua and Barbuda,ATG,2007,17,
Antigua and Barbuda,ATG,2008,16,
Antigua and Barbuda,ATG,2009,16,
Antigua and Barbuda,ATG,2010,6,
Antigua and Barbuda,ATG,2012,10,
Antigua and Barbuda,ATG,2017,20,
Antigua and Barbuda,ATG,2018,12,
Antigua and Barbuda,ATG,2019,3,
Antigua and Barbuda,ATG,2020,9,
Antigua and Barbuda,ATG,2021,16,
Antigua and Barbuda,ATG,2022,10,
Antigua and Barbuda,ATG,2023,10,North America
Argentina,ARG,2001,3129,
Argentina,ARG,2002,3570,
Argentina,ARG,2003,2967,
Argentina,ARG,2004,2338,
Argentina,ARG,2005,2198,
Argentina,ARG,2006,2111,
Argentina,ARG,2007,2139,
Argentina,ARG,2008,2371,
Argentina,ARG,2009,2642,
Argentina,ARG,2010,2384,
Argentina,ARG,2011,2511,
Argentina,ARG,2012,2648,
Argentina,ARG,2013,3072,
Argentina,ARG,2014,3228,
Argentina,ARG,2015,2837,
Argentina,ARG,2016,2625,
Argentina,ARG,2017,2317,
Argentina,ARG,2018,2384,
Argentina,ARG,2019,2308,
Argentina,ARG,2020,2419,
Argentina,ARG,2021,2094,
Argentina,ARG,2022,1958,
Argentina,ARG,2023,2046,South America
Armenia,ARM,1990,178,
Armenia,ARM,1991,186,
Armenia,ARM,1992,305,
Armenia,ARM,1993,268,
Armenia,ARM,1994,157,
Armenia,ARM,1995,116,
Armenia,ARM,1996,114,
Armenia,ARM,1997,100,
Armenia,ARM,1998,93,
Armenia,ARM,1999,90,
Armenia,ARM,2000,91,
Armenia,ARM,2001,88,
Armenia,ARM,2002,69,
Armenia,ARM,2004,83,
Armenia,ARM,2005,58,
Armenia,ARM,2006,79,
Armenia,ARM,2007,77,
Armenia,ARM,2008,97,
Armenia,ARM,2009,97,
Armenia,ARM,2010,56,
Armenia,ARM,2011,71,
Armenia,ARM,2012,65,
Armenia,ARM,2013,63,
Armenia,ARM,2014,72,
Armenia,ARM,2015,75,
Armenia,ARM,2016,87,
Armenia,ARM,2017,70,
Armenia,ARM,2018,50,
Armenia,ARM,2019,73,
Armenia,ARM,2020,75,
Armenia,ARM,2021,90,
Armenia,ARM,2022,79,
Armenia,ARM,2023,65,Asia
Aruba,ABW,1990,0,
Aruba,ABW,1995,6,
Aruba,ABW,1999,2,
Aruba,ABW,2001,4,
Aruba,ABW,2002,5,
Aruba,ABW,2003,4,
Aruba,ABW,2004,2,
Aruba,ABW,2005,6,
Aruba,ABW,2006,5,
Aruba,ABW,2007,3,
Aruba,ABW,2008,5,
Aruba,ABW,2009,4,
Aruba,ABW,2010,4,
Aruba,ABW,2011,2,
Aruba,ABW,2012,4,
Aruba,ABW,2013,6,
Aruba,ABW,2014,2,
Aruba,ABW,2023,,North America
Asia (UN),,2000,125776.77,
Asia (UN),,2001,124378.086,
Asia (UN),,2002,122672.016,
Asia (UN),,2003,120828.14,
Asia (UN),,2004,122187.1,
Asia (UN),,2005,117842,
Asia (UN),,2006,115642.54,
Asia (UN),,2007,114324.78,
Asia (UN),,2008,114462.83,
Asia (UN),,2009,114429.94,
Asia (UN),,2010,113079.24,
Asia (UN),,2011,116199.86,
Asia (UN),,2012,116735.79,
Asia (UN),,2013,115161.016,
Asia (UN),,2014,115184.11,
Asia (UN),,2015,106920.445,
Asia (UN),,2016,104290.39,
Asia (UN),,2017,100274.234,
Asia (UN),,2018,97047.84,
Asia (UN),,2019,94356.3,
Asia (UN),,2020,93203.125,
Asia (UN),,2021,106464.695,
Asia (UN),,2022,92093.7,
Asia (UN),,2023,94584.97,
Australia,AUS,1990,374,
Australia,AUS,1991,340,
Australia,AUS,1992,301,
Australia,AUS,1993,333,
Australia,AUS,1994,320,
Australia,AUS,1995,356,
Australia,AUS,1996,354,
Australia,AUS,1997,364,
Australia,AUS,1998,334,
Australia,AUS,1999,385,
Australia,AUS,2000,362,
Australia,AUS,2001,347,
Australia,AUS,2002,366,
Australia,AUS,2003,302,
Australia,AUS,2004,263,
Australia,AUS,2005,259,
Australia,AUS,2006,281,
Australia,AUS,2007,255,
Australia,AUS,2008,261,
Australia,AUS,2009,263,
Australia,AUS,2010,231,
Australia,AUS,2011,248,
Australia,AUS,2012,243,
Australia,AUS,2013,245,
Australia,AUS,2014,243,
Australia,AUS,2015,236,
Australia,AUS,2016,227,
Australia,AUS,2017,208,
Australia,AUS,2018,221,
Australia,AUS,2019,225,
Australia,AUS,2020,221,
Australia,AUS,2021,193,
Australia,AUS,2022,220,
Australia,AUS,2023,226,Oceania
Australia and New Zealand (UN),,2000,414,
Australia and New Zealand (UN),,2001,398,
Australia and New Zealand (UN),,2002,426,
Australia and New Zealand (UN),,2003,346,
Australia and New Zealand (UN),,2004,308,
Australia and New Zealand (UN),,2005,320,
Australia and New Zealand (UN),,2006,330,
Australia and New Zealand (UN),,2007,303,
Australia and New Zealand (UN),,2008,312,
Australia and New Zealand (UN),,2009,330,
Australia and New Zealand (UN),,2010,274,
Australia and New Zealand (UN),,2011,287,
Australia and New Zealand (UN),,2012,284,
Australia and New Zealand (UN),,2013,291,
Australia and New Zealand (UN),,2014,286,
Australia and New Zealand (UN),,2015,284,
Australia and New Zealand (UN),,2016,277,
Australia and New Zealand (UN),,2017,243,
Australia and New Zealand (UN),,2018,276,
Australia and New Zealand (UN),,2019,339,
Australia and New Zealand (UN),,2020,273,
Australia and New Zealand (UN),,2021,263,
Australia and New Zealand (UN),,2022,313,
Australia and New Zealand (UN),,2023,287.60446,
Austria,AUT,1990,89,
Austria,AUT,1991,103,
Austria,AUT,1992,97,
Austria,AUT,1993,80,
Austria,AUT,1994,88,
Austria,AUT,1995,78,
Austria,AUT,1996,99,
Austria,AUT,1997,66,
Austria,AUT,1998,77,
Austria,AUT,1999,60,
Austria,AUT,2000,82,
Austria,AUT,2001,70,
Austria,AUT,2002,65,
Austria,AUT,2003,50,
Austria,AUT,2004,59,
Austria,AUT,2005,54,
Austria,AUT,2006,61,
Austria,AUT,2007,45,
Austria,AUT,2008,58,
Austria,AUT,2009,51,
Austria,AUT,2010,61,
Austria,AUT,2011,77,
Austria,AUT,2012,81,
Austria,AUT,2013,61,
Austria,AUT,2014,42,
Austria,AUT,2015,44,
Austria,AUT,2016,54,
Austria,AUT,2017,70,
Austria,AUT,2018,86,
Austria,AUT,2019,77,
Austria,AUT,2020,65,
Austria,AUT,2021,65,
Austria,AUT,2022,79,
Austria,AUT,2023,80,Europe
Austria-Hungary,OWID_AUH,2023,,Europe
Azerbaijan,AZE,1990,329,
Azerbaijan,AZE,1991,357,
Azerbaijan,AZE,1992,564,
Azerbaijan,AZE,1993,478,
Azerbaijan,AZE,1994,499,
Azerbaijan,AZE,1995,443,
Azerbaijan,AZE,1996,400,
Azerbaijan,AZE,1997,284,
Azerbaijan,AZE,1998,280,
Azerbaijan,AZE,1999,242,
Azerbaijan,AZE,2000,226,
Azerbaijan,AZE,2001,218,
Azerbaijan,AZE,2002,212,
Azerbaijan,AZE,2007,189,
Azerbaijan,AZE,2008,192,
Azerbaijan,AZE,2010,206,
Azerbaijan,AZE,2011,211,
Azerbaijan,AZE,2012,202,
Azerbaijan,AZE,2013,221,
Azerbaijan,AZE,2014,236,
Azerbaijan,AZE,2015,211,
Azerbaijan,AZE,2016,169,
Azerbaijan,AZE,2017,182,
Azerbaijan,AZE,2018,197,
Azerbaijan,AZE,2019,168,
Azerbaijan,AZE,2020,219,
Azerbaijan,AZE,2021,174,
Azerbaijan,AZE,2022,184,
Azerbaijan,AZE,2023,223,Asia
Azerbaijan,AZE,2024,206,
Bahamas,BHS,1990,45,
Bahamas,BHS,1991,28,
Bahamas,BHS,1992,41,
Bahamas,BHS,1993,35,
Bahamas,BHS,1994,52,
Bahamas,BHS,1995,40,
Bahamas,BHS,1996,51,
Bahamas,BHS,1997,46,
Bahamas,BHS,2000,74,
Bahamas,BHS,2001,43,
Bahamas,BHS,2002,52,
Bahamas,BHS,2003,50,
Bahamas,BHS,2004,44,
Bahamas,BHS,2005,52,
Bahamas,BHS,2006,61,
Bahamas,BHS,2007,78,
Bahamas,BHS,2008,73,
Bahamas,BHS,2009,87,
Bahamas,BHS,2010,94,
Bahamas,BHS,2011,127,
Bahamas,BHS,2012,110,
Bahamas,BHS,2013,119,
Bahamas,BHS,2014,122,
Bahamas,BHS,2015,146,
Bahamas,BHS,2016,111,
Bahamas,BHS,2017,122,
Bahamas,BHS,2018,91,
Bahamas,BHS,2019,95,
Bahamas,BHS,2020,73,
Bahamas,BHS,2021,119,
Bahamas,BHS,2022,128,
Bahamas,BHS,2023,,North America
Bahrain,BHR,1995,5,
Bahrain,BHR,1996,8,
Bahrain,BHR,1997,6,
Bahrain,BHR,2001,9,
Bahrain,BHR,2002,8,
Bahrain,BHR,2007,4,
Bahrain,BHR,2008,6,
Bahrain,BHR,2009,13,
Bahrain,BHR,2010,2,
Bahrain,BHR,2011,12,
Bahrain,BHR,2012,9,
Bahrain,BHR,2013,11,
Bahrain,BHR,2014,9,
Bahrain,BHR,2015,3,
Bahrain,BHR,2016,4,
Bahrain,BHR,2017,6,
Bahrain,BHR,2018,5,
Bahrain,BHR,2019,4,
Bahrain,BHR,2020,0,
Bahrain,BHR,2021,1,
Bahrain,BHR,2022,3,
Bahrain,BHR,2023,,Asia
Bangladesh,BGD,2000,3343,
Bangladesh,BGD,2001,3678,
Bangladesh,BGD,2002,3503,
Bangladesh,BGD,2003,3471,
Bangladesh,BGD,2004,3902,
Bangladesh,BGD,2005,3592,
Bangladesh,BGD,2006,4166,
Bangladesh,BGD,2007,3863,
Bangladesh,BGD,2008,4099,
Bangladesh,BGD,2009,4219,
Bangladesh,BGD,2010,3988,
Bangladesh,BGD,2011,3966,
Bangladesh,BGD,2012,4114,
Bangladesh,BGD,2013,4393,
Bangladesh,BGD,2014,4514,
Bangladesh,BGD,2015,4035,
Bangladesh,BGD,2016,3591,
Bangladesh,BGD,2017,3549,
Bangladesh,BGD,2018,3830,
Bangladesh,BGD,2023,,Asia
Barbados,BRB,1990,34,
Barbados,BRB,1991,21,
Barbados,BRB,1992,22,
Barbados,BRB,1993,21,
Barbados,BRB,1994,20,
Barbados,BRB,1995,17,
Barbados,BRB,1998,20,
Barbados,BRB,1999,23,
Barbados,BRB,2000,20,
Barbados,BRB,2001,25,
Barbados,BRB,2002,25,
Barbados,BRB,2003,33,
Barbados,BRB,2004,22,
Barbados,BRB,2005,29,
Barbados,BRB,2006,35,
Barbados,BRB,2007,25,
Barbados,BRB,2008,23,
Barbados,BRB,2009,19,
Barbados,BRB,2010,31,
Barbados,BRB,2011,27,
Barbados,BRB,2012,22,
Barbados,BRB,2013,24,
Barbados,BRB,2014,25,
Barbados,BRB,2015,31,
Barbados,BRB,2016,22,
Barbados,BRB,2017,30,
Barbados,BRB,2018,28,
Barbados,BRB,2019,48,
Barbados,BRB,2020,41,
Barbados,BRB,2021,32,
Barbados,BRB,2022,43,
Barbados,BRB,2023,,North America
Belarus,BLR,1990,508,
Belarus,BLR,1991,465,
Belarus,BLR,1992,594,
Belarus,BLR,1993,756,
Belarus,BLR,1994,829,
Belarus,BLR,1995,960,
Belarus,BLR,1996,970,
Belarus,BLR,1997,1021,
Belarus,BLR,1998,1036,
Belarus,BLR,1999,974,
Belarus,BLR,2000,1013,
Belarus,BLR,2001,969,
Belarus,BLR,2002,989,
Belarus,BLR,2007,649,
Belarus,BLR,2008,552,
Belarus,BLR,2009,487,
Belarus,BLR,2010,401,
Belarus,BLR,2011,373,
Belarus,BLR,2012,340,
Belarus,BLR,2013,333,
Belarus,BLR,2014,340,
Belarus,BLR,2015,326,
Belarus,BLR,2016,307,
Belarus,BLR,2017,240,
Belarus,BLR,2018,226,
Belarus,BLR,2019,225,
Belarus,BLR,2023,,Europe
Belgium,BEL,1990,103.672134,
Belgium,BEL,1991,102.23224,
Belgium,BEL,1992,120.95082,
Belgium,BEL,1993,144.70901,
Belgium,BEL,1994,120,
Belgium,BEL,1995,142,
Belgium,BEL,1996,120,
Belgium,BEL,1997,145,
Belgium,BEL,2000,212,
Belgium,BEL,2001,282,
Belgium,BEL,2002,319,
Belgium,BEL,2021,125,
Belgium,BEL,2023,,Europe
Belize,BLZ,2000,41,
Belize,BLZ,2001,64,
Belize,BLZ,2002,87,
Belize,BLZ,2003,67,
Belize,BLZ,2004,79,
Belize,BLZ,2005,81,
Belize,BLZ,2006,92,
Belize,BLZ,2007,97,
Belize,BLZ,2008,103,
Belize,BLZ,2009,97,
Belize,BLZ,2010,129,
Belize,BLZ,2011,124,
Belize,BLZ,2012,145,
Belize,BLZ,2013,99,
Belize,BLZ,2014,123,
Belize,BLZ,2015,119,
Belize,BLZ,2016,138,
Belize,BLZ,2017,142,
Belize,BLZ,2018,143,
Belize,BLZ,2019,134,
Belize,BLZ,2020,102,
Belize,BLZ,2021,125,
Belize,BLZ,2022,113,
Belize,BLZ,2023,,North America
Benin,BEN,2023,,Africa
Bermuda,BMU,1990,1,
Bermuda,BMU,1991,3,
Bermuda,BMU,1992,1,
Bermuda,BMU,1993,3,
Bermuda,BMU,1994,6,
Bermuda,BMU,1996,4,
Bermuda,BMU,1997,2,
Bermuda,BMU,1998,0,
Bermuda,BMU,1999,2,
Bermuda,BMU,2000,0,
Bermuda,BMU,2001,3,
Bermuda,BMU,2002,1,
Bermuda,BMU,2003,2,
Bermuda,BMU,2004,1,
Bermuda,BMU,2005,2,
Bermuda,BMU,2006,3,
Bermuda,BMU,2007,3,
Bermuda,BMU,2008,5,
Bermuda,BMU,2009,6,
Bermuda,BMU,2010,7,
Bermuda,BMU,2011,8,
Bermuda,BMU,2012,6,
Bermuda,BMU,2013,5,
Bermuda,BMU,2014,4,
Bermuda,BMU,2015,4,
Bermuda,BMU,2016,8,
Bermuda,BMU,2017,5,
Bermuda,BMU,2018,5,
Bermuda,BMU,2019,0,
Bermuda,BMU,2020,7,
Bermuda,BMU,2021,7,
Bermuda,BMU,2022,9,
Bermuda,BMU,2023,4,North America
Bhutan,BTN,1990,20,
Bhutan,BTN,1991,12,
Bhutan,BTN,1992,27,
Bhutan,BTN,1993,19,
Bhutan,BTN,1994,20,
Bhutan,BTN,1995,16,
Bhutan,BTN,1996,12,
Bhutan,BTN,1997,7,
Bhutan,BTN,1998,11,
Bhutan,BTN,1999,13,
Bhutan,BTN,2000,18,
Bhutan,BTN,2001,19,
Bhutan,BTN,2002,19,
Bhutan,BTN,2003,5,
Bhutan,BTN,2004,15,
Bhutan,BTN,2005,11,
Bhutan,BTN,2006,9,
Bhutan,BTN,2007,14,
Bhutan,BTN,2008,18,
Bhutan,BTN,2009,16,
Bhutan,BTN,2010,16,
Bhutan,BTN,2011,32,
Bhutan,BTN,2012,33,
Bhutan,BTN,2013,24,
Bhutan,BTN,2015,12,
Bhutan,BTN,2016,9,
Bhutan,BTN,2017,13,
Bhutan,BTN,2018,9,
Bhutan,BTN,2019,8,
Bhutan,BTN,2020,19,
Bhutan,BTN,2023,,Asia
Bolivia,BOL,2015,543,
Bolivia,BOL,2016,642,
Bolivia,BOL,2017,747,
Bolivia,BOL,2018,574,
Bolivia,BOL,2019,497,
Bolivia,BOL,2020,428,
Bolivia,BOL,2021,418,
Bolivia,BOL,2022,485,
Bolivia,BOL,2023,541,South America
Bonaire Sint Eustatius and Saba,BES,2023,,North America
Bosnia and Herzegovina,BIH,1990,73,
Bosnia and Herzegovina,BIH,2000,99,
Bosnia and Herzegovina,BIH,2001,82,
Bosnia and Herzegovina,BIH,2002,90,
Bosnia and Herzegovina,BIH,2004,68,
Bosnia and Herzegovina,BIH,2007,66,
Bosnia and Herzegovina,BIH,2008,66,
Bosnia and Herzegovina,BIH,2009,71,
Bosnia and Herzegovina,BIH,2010,56,
Bosnia and Herzegovina,BIH,2011,51,
Bosnia and Herzegovina,BIH,2012,63,
Bosnia and Herzegovina,BIH,2013,46,
Bosnia and Herzegovina,BIH,2014,50,
Bosnia and Herzegovina,BIH,2015,57,
Bosnia and Herzegovina,BIH,2016,45,
Bosnia and Herzegovina,BIH,2017,42,
Bosnia and Herzegovina,BIH,2018,39,
Bosnia and Herzegovina,BIH,2019,42,
Bosnia and Herzegovina,BIH,2020,43,
Bosnia and Herzegovina,BIH,2021,32,
Bosnia and Herzegovina,BIH,2022,35,
Bosnia and Herzegovina,BIH,2023,39,Europe
Botswana,BWA,2001,213,
Botswana,BWA,2002,255,
Botswana,BWA,2003,312,
Botswana,BWA,2004,259,
Botswana,BWA,2005,291,
Botswana,BWA,2006,261,
Botswana,BWA,2007,280,
Botswana,BWA,2008,281,
Botswana,BWA,2009,289,
Botswana,BWA,2010,303,
Botswana,BWA,2020,221,
Botswana,BWA,2021,273,
Botswana,BWA,2023,,Africa
Brazil,BRA,1990,29301.19,
Brazil,BRA,1991,28148.473,
Brazil,BRA,1992,25966.84,
Brazil,BRA,1993,28012.752,
Brazil,BRA,1994,29851.412,
Brazil,BRA,1995,34000.09,
Brazil,BRA,1996,38894,
Brazil,BRA,1997,40507,
Brazil,BRA,1998,41950,
Brazil,BRA,1999,42914,
Brazil,BRA,2000,45375,
Brazil,BRA,2001,47955,
Brazil,BRA,2002,49710,
Brazil,BRA,2003,51064,
Brazil,BRA,2004,48394,
Brazil,BRA,2005,47593,
Brazil,BRA,2006,49165,
Brazil,BRA,2007,47731,
Brazil,BRA,2008,50135,
Brazil,BRA,2009,51461,
Brazil,BRA,2010,52289,
Brazil,BRA,2011,52233,
Brazil,BRA,2012,56388,
Brazil,BRA,2013,56845,
Brazil,BRA,2014,59733,
Brazil,BRA,2015,58184,
Brazil,BRA,2016,61208,
Brazil,BRA,2017,63788,
Brazil,BRA,2018,55980,
Brazil,BRA,2019,44073,
Brazil,BRA,2020,47722,
Brazil,BRA,2021,45562,
Brazil,BRA,2022,44367,
Brazil,BRA,2023,43443,South America
British Indian Ocean Territory,IOT,2023,,Asia
British Virgin Islands,VGB,1990,1,
British Virgin Islands,VGB,1991,0,
British Virgin Islands,VGB,1992,0,
British Virgin Islands,VGB,1993,0,
British Virgin Islands,VGB,1994,0,
British Virgin Islands,VGB,1995,2,
British Virgin Islands,VGB,1996,2,
British Virgin Islands,VGB,1999,1,
British Virgin Islands,VGB,2001,1,
British Virgin Islands,VGB,2002,1,
British Virgin Islands,VGB,2003,2,
British Virgin Islands,VGB,2004,4,
British Virgin Islands,VGB,2006,2,
British Virgin Islands,VGB,2023,,North America
Brunei,BRN,1996,9,
Brunei,BRN,1997,8,
Brunei,BRN,1998,4,
Brunei,BRN,1999,4,
Brunei,BRN,2000,4,
Brunei,BRN,2003,3,
Brunei,BRN,2004,2,
Brunei,BRN,2005,2,
Brunei,BRN,2006,3,
Brunei,BRN,2007,3,
Brunei,BRN,2008,1,
Brunei,BRN,2009,3,
Brunei,BRN,2010,1,
Brunei,BRN,2011,1,
Brunei,BRN,2012,4,
Brunei,BRN,2013,2,
Brunei,BRN,2023,,Asia
Bulgaria,BGR,1990,227,
Bulgaria,BGR,1991,375,
Bulgaria,BGR,1992,462,
Bulgaria,BGR,1993,490,
Bulgaria,BGR,1994,492,
Bulgaria,BGR,1995,494,
Bulgaria,BGR,1996,438,
Bulgaria,BGR,1997,398,
Bulgaria,BGR,1998,381,
Bulgaria,BGR,1999,327,
Bulgaria,BGR,2000,332,
Bulgaria,BGR,2001,308,
Bulgaria,BGR,2002,255,
Bulgaria,BGR,2003,247,
Bulgaria,BGR,2004,244,
Bulgaria,BGR,2005,199,
Bulgaria,BGR,2006,186,
Bulgaria,BGR,2007,177,
Bulgaria,BGR,2008,172,
Bulgaria,BGR,2009,150,
Bulgaria,BGR,2010,148,
Bulgaria,BGR,2011,128,
Bulgaria,BGR,2012,141,
Bulgaria,BGR,2013,109,
Bulgaria,BGR,2014,112,
Bulgaria,BGR,2015,126,
Bulgaria,BGR,2016,79,
Bulgaria,BGR,2017,103,
Bulgaria,BGR,2018,92,
Bulgaria,BGR,2019,83,
Bulgaria,BGR,2020,69,
Bulgaria,BGR,2021,89,
Bulgaria,BGR,2022,76,
Bulgaria,BGR,2023,74,Europe
Burkina Faso,BFA,2023,,Africa
Burundi,BDI,2012,500,
Burundi,BDI,2013,520,
Burundi,BDI,2014,564,
Burundi,BDI,2015,461,
Burundi,BDI,2016,635,
Burundi,BDI,2023,,Africa
Cambodia,KHM,1992,429,
Cambodia,KHM,1993,599,
Cambodia,KHM,1994,303,
Cambodia,KHM,1995,397,
Cambodia,KHM,1996,542,
Cambodia,KHM,1997,317,
Cambodia,KHM,1998,793,
Cambodia,KHM,1999,581,
Cambodia,KHM,2000,571,
Cambodia,KHM,2001,407,
Cambodia,KHM,2002,425,
Cambodia,KHM,2003,509,
Cambodia,KHM,2004,511,
Cambodia,KHM,2005,448,
Cambodia,KHM,2006,400,
Cambodia,KHM,2007,393,
Cambodia,KHM,2008,333,
Cambodia,KHM,2009,331,
Cambodia,KHM,2010,331,
Cambodia,KHM,2011,268,
Cambodia,KHM,2023,,Asia
Cameroon,CMR,2000,459,
Cameroon,CMR,2001,755,
Cameroon,CMR,2002,1031,
Cameroon,CMR,2003,1002,
Cameroon,CMR,2008,776,
Cameroon,CMR,2009,1277,
Cameroon,CMR,2010,999,
Cameroon,CMR,2011,835,
Cameroon,CMR,2012,880,
Cameroon,CMR,2015,861,
Cameroon,CMR,2016,787,
Cameroon,CMR,2017,1004,
Cameroon,CMR,2020,1202,
Cameroon,CMR,2022,1868,
Cameroon,CMR,2023,,Africa
Canada,CAN,1990,657,
Canada,CAN,1991,754,
